"","FDR.adjusted.pvalue_Class","Estimate_Class"
"1",0.0497647891947408,1.259781
"2",0.0088208847818915,1.07149816666667
"3",0.00951022818621034,1.13621533333333
"4",0.254340658801344,0.574536166666668
"5",0.023113867340885,1.18755666666667
"6",0.00167667487986538,1.640301
"7",0.127648503047297,0.819757666666668
"8",0.0101919897650284,1.55312116666667
"9",0.0342551030553591,1.0133325
"10",0.624943585873344,0.5404175
"11",0.838514055107718,-0.166037833333332
"12",0.460908141335818,0.312184499999999
"13",0.100015067412323,1.14907216666667
"14",0.0101872587696576,0.865087333333332
"15",0.00141391990349835,1.73791316666667
"16",0.63334783359287,0.243123000000001
"17",0.00528319568714316,0.432288166666667
"18",0.02558064191132,1.42488433333333
"19",0.0563199255312342,1.3046185
"20",0.00031230726568166,3.40095883333333
"21",4.05188493804165e-05,2.74966216666667
"22",0.00011070616745475,2.4162775
"23",0.0408320780178737,1.4128135
"24",0.00021148543301637,1.99359666666667
"25",0.024557679985672,2.00150466666667
"26",0.284861559906071,0.678570166666668
"27",0.0268772350187156,1.59916366666667
"28",0.00334537249740844,1.89770766666666
"29",0.00020221400886641,2.47816833333333
"30",3.89287479204143e-05,2.266618
"31",0.292243960537216,-1.07147366666666
"32",0.0146417675801801,1.67193766666666
"33",0.894583360626169,0.143331666666668
"34",0.23518754680051,1.18286533333333
"35",0.0585143892205207,1.69144716666667
"36",0.0802532329951305,1.27710483333333
"37",0.00018238991393315,2.08625233333333
"38",0.0744189976344325,1.594774
"39",0.0555337204899826,1.71509483333333
"40",0.00920587392382197,2.02889483333333
"41",0.0228583956608296,1.87464433333333
"42",0.00013694511591893,3.37090566666667
"43",0.610880083708782,0.286809333333333
"44",0.404240478678521,-0.544077000000002
"45",0.856168577545048,-0.0940461666666675
"46",0.826860122842244,-0.127796166666668
"47",0.620260644103967,-0.336872166666666
"48",0.00025619939629843,-1.647753
"49",0.400162884019934,0.340148333333332
"50",0.0964699506171999,0.961435833333334
"51",0.0242684999742779,1.229201
"52",0.00503719140708997,1.58888833333333
"53",0.0194912107671467,2.14538333333333
"54",0.00068935067104296,1.60866733333333
"55",0.186082097851528,0.866578833333333
"56",0.0174225597188306,1.45631083333334
"57",0.0445157007458078,1.4555175
"58",0.00118047688014511,2.3243715
"59",0.0119896933455184,1.9058355
"60",5.89144480836172e-05,3.04520016666667
"61",0.00036097635271897,2.45006233333333
"62",0.533376839113752,0.437822166666668
"63",0.160296121244952,0.666463833333333
"64",0.94690467428841,0.0412448333333351
"65",0.0144100815439836,1.166818
"66",0.00507005950089175,1.14689933333333
"67",0.203643636107337,0.468036999999999
"68",0.117487845383768,-0.521521499999999
"69",0.00605258569297797,1.82099233333333
"70",0.00593852862289947,1.37848266666666
"71",0.301578448023249,0.398268833333332
"72",0.100015067412323,0.961542666666665
"73",0.824844885076118,0.185496833333331
"74",0.129460268605941,0.871484166666666
"75",0.15289471473679,-0.558208666666668
"76",0.0221590355208658,0.593757999999999
"77",0.00388313330364723,-2.04661633333333
"78",0.153759516018916,1.157409
"79",0.328409654800144,0.975882999999999
"80",0.191785259586417,0.957522166666666
"81",0.0996815758583251,0.871269999999999
"82",0.0565092860910843,1.38510566666666
"83",0.0889061997544396,1.0228345
"84",0.0344003729318621,1.20955366666667
"85",0.00465773070641687,1.11046733333333
"86",0.144310269236717,0.914442833333332
"87",0.0923249589403261,1.012003
"88",0.0528110455983484,1.13973316666667
"89",0.00741007867610409,1.50896383333333
