"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Linoleate metabolism","46","26","19","26.696","0.85528","0.91989","0.18821","85","0.85","1","1","1","P35","EC000238;EC000239;EC000607;EC000490;EC000257;EC000103;EC00023;EC000395;EC000396;EC000397;EC000398;EC000392;EC000393;EC000394;EC000266;EC000351;EC000352;EC000353;EC000354;EC000355;EC000151;EC000152;EC000153"
"Tyrosine metabolism","160","6","4","3.8137","0.86438","0.97642","0.19586","29","0.29","1","1","1","P36","EC000188;EC000504;EC00023"
"Squalene and cholesterol biosynthesis","55","32","31","54.917","0.89014","0.9282","0.22077","96","0.96","1","1","1","P37","EC000180;EC000181;EC000183;EC000185;EC000187;EC00088;EC00089;EC00090;EC00091;EC000209;EC0003;EC0005;EC0006;EC0008;EC00010;EC00031;EC00032;EC00033;EC00036;EC00037;EC000274;EC000275;EC000277;EC000279;EC000280;EC000281;EC000283;EC000284;EC000269;EC000270;EC000271;EC000272;EC000225;EC000176;EC000179;EC000424;EC000420;EC000421;EC000422;EC000423;EC000243;EC000244;EC000245;EC000246;EC000124;EC000125;EC000128;EC000109"
"Omega-3 fatty acid metabolism","39","7","4","11.441","0.90764","0.96745","0.24135","86","0.86","1","1","1","P38","EC000425;EC000426;EC000427;EC000266;EC000351;EC000352;EC000353;EC000354;EC000355"
"Glycosphingolipid biosynthesis - ganglioseries","62","1","1","1.5255","0.92245","1","0.26198","78","0.78","1","1","1","P39","EC00038"
"Pyruvate Metabolism","20","2","1","1.5255","0.92245","1","0.26198","24","0.24","1","1","1","P40","EC00023"
"Vitamin B2 (riboflavin) metabolism","8","2","1","1.5255","0.92245","1","0.26198","25","0.25","1","1","1","P41","EC00050"
"Vitamin B1 (thiamin) metabolism","20","2","1","1.5255","0.92245","1","0.26198","16","0.16","1","1","1","P42","EC00058"
"Glutathione Metabolism","19","2","1","1.5255","0.92245","1","0.26198","23","0.23","1","1","1","P43","EC00023"
"Arginine and Proline Metabolism","45","2","1","1.5255","0.92245","1","0.26198","28","0.28","1","1","1","P44","EC000134"
"Glutamate metabolism","15","2","1","1.5255","0.92245","1","0.26198","23","0.23","1","1","1","P45","EC00023"
"Fatty acid oxidation","35","5","2","3.051","0.93191","0.99395","0.27722","62","0.62","1","1","1","P46","EC000519;EC00061"
"TCA cycle","31","3","2","3.051","0.93191","0.99395","0.27722","85","0.85","1","1","1","P47","EC00061;EC00059"
